RPLIDAR SCAN DATA
#COUNT=319
#Angule	Distance	Quality
359.2031 2429.0 12
0.2188 2430.8 13
1.2656 2429.5 13
2.2813 2429.0 14
3.2969 2416.3 14
4.3125 2416.0 13
5.3594 2428.5 13
6.3906 2415.0 13
7.4063 2430.5 13
8.4375 2430.8 12
9.4531 2416.0 12
10.4844 2432.3 13
11.5469 2433.8 12
12.5469 2434.8 13
13.5938 2435.5 13
14.6250 2437.8 13
15.6563 2452.3 12
16.5469 2487.0 12
24.9688 1638.3 9
26.0156 1552.0 9
27.0781 1448.3 9
28.1406 1435.5 10
29.1406 1369.3 10
30.2188 1331.0 11
31.2344 1308.0 19
32.2813 1278.5 14
33.3125 1244.0 18
34.4375 1204.8 19
35.4375 1175.5 18
36.5469 1142.5 17
37.5469 1121.3 18
38.5469 1092.0 19
39.6875 1066.5 19
40.7188 1042.5 19
41.7031 1021.5 21
42.7969 1004.3 24
43.7813 981.3 20
44.8750 961.8 20
45.9844 946.5 18
46.9844 928.3 24
47.9844 911.8 21
49.0625 897.8 26
50.0625 882.0 24
51.2188 867.5 25
52.2188 855.3 23
53.2031 841.3 26
54.2969 830.8 24
55.3438 819.5 29
56.4375 809.0 26
57.3750 799.3 24
58.4844 787.3 27
59.5313 782.3 25
60.4688 772.5 26
61.6406 764.8 27
62.5469 757.0 26
63.5938 750.8 27
64.6406 744.8 28
65.7188 736.3 27
66.7500 728.3 30
67.7969 724.3 30
68.8438 718.0 24
69.8594 713.8 29
70.9219 708.3 29
72.0156 705.0 28
72.9844 699.0 30
74.0313 695.3 28
75.0313 692.0 30
76.0781 688.8 31
77.0938 684.3 30
78.1719 683.3 30
79.1563 676.5 31
80.2031 677.5 33
81.1719 676.0 31
82.2500 673.0 33
83.2969 671.5 34
84.2656 669.8 35
85.4531 667.8 35
86.4688 667.3 36
87.3281 668.0 35
88.4844 666.5 33
89.3906 666.5 39
90.4688 665.5 37
91.5469 666.5 35
92.5313 666.5 36
93.6406 665.8 34
94.7031 667.3 37
95.6563 669.5 31
96.7813 669.8 36
97.6719 670.0 33
98.8594 673.3 35
99.8906 676.8 33
100.7656 676.8 32
101.8125 680.5 31
102.8125 682.3 31
103.8594 684.8 30
104.8438 688.5 33
106.0156 691.5 29
106.8594 696.5 29
107.8906 698.5 29
108.9375 705.8 30
109.9844 709.5 31
111.0469 713.0 27
112.0156 716.5 26
113.1250 723.0 29
114.2344 716.3 24
115.1094 724.8 27
116.2344 740.3 25
117.1719 749.3 26
118.2500 755.3 27
119.1406 765.3 25
120.2188 772.8 26
121.2813 780.5 25
122.3281 790.0 28
123.3438 798.0 23
124.3594 808.3 27
125.2813 818.0 28
126.2813 827.0 25
127.3750 839.0 26
128.3594 850.5 25
129.4375 861.0 26
130.4219 875.8 24
131.3594 891.0 23
132.4219 903.5 26
133.3594 918.8 24
134.4219 933.5 24
135.5000 953.3 21
136.4844 968.0 22
137.5625 983.3 22
138.5781 1005.0 23
139.6094 1026.8 20
140.6250 1044.8 21
141.5938 1068.8 18
142.6719 1091.3 18
143.6719 1117.3 19
144.6406 1161.8 18
145.7031 1191.8 16
146.7188 1202.3 20
147.7188 1234.5 17
148.7344 1272.5 16
149.7344 1310.0 15
150.7188 1348.0 15
151.7031 1387.3 15
152.7500 1430.3 13
153.7344 1480.8 11
154.7813 1531.8 12
155.7656 1590.8 11
156.8125 1662.0 12
157.7813 1734.3 9
158.8281 1782.5 10
159.8438 1875.8 9
167.7188 2778.8 9
168.7500 2776.0 10
169.7656 2776.5 9
170.8125 2776.0 9
171.8125 2751.3 11
172.8594 2683.8 11
173.8750 2750.5 11
174.9219 2727.8 10
175.9531 2705.5 11
176.9531 2728.3 10
177.9844 2724.5 12
179.0469 2682.5 10
180.0625 2703.8 10
181.0781 2682.3 11
182.0938 2728.3 11
183.1563 2727.0 11
184.1563 2705.3 11
185.2813 2726.8 11
186.3438 2728.5 11
187.3594 2750.0 11
188.3750 2799.5 9
189.4219 2752.3 10
190.4531 2799.0 9
191.4844 2801.8 10
192.5000 2802.3 10
193.5625 2803.3 10
194.5781 2804.5 10
195.5938 2828.8 10
199.7969 2347.0 9
201.9219 2119.5 9
202.9531 2027.8 10
204.0156 1920.3 9
205.0469 1865.5 9
206.1563 1782.8 10
207.2188 1708.5 11
208.2344 1655.5 11
209.4063 1591.8 11
210.4688 1538.5 13
211.4688 1496.3 12
212.5625 1448.8 14
213.5938 1400.8 14
214.6875 1369.8 14
215.7031 1332.0 16
216.7656 1304.5 17
217.8281 1267.3 17
218.8594 1235.5 18
219.9688 1206.0 17
220.9688 1182.8 20
222.0156 1157.8 17
223.1094 1137.0 20
224.1719 1111.5 22
225.1563 1090.0 19
226.2969 1072.5 20
227.2969 1053.0 22
228.3438 1030.0 23
229.4063 1016.8 23
230.4688 1004.0 24
231.4531 988.3 22
232.5156 975.3 23
233.6094 956.8 23
234.6563 944.5 24
235.5781 935.0 27
236.6406 920.0 29
237.7500 907.5 27
238.7969 898.5 26
239.7969 887.0 28
240.9063 876.8 25
241.9531 869.0 29
242.9688 860.5 30
243.9844 850.5 28
245.0625 842.3 29
246.0156 835.8 27
247.1719 829.0 28
248.1406 825.5 27
249.1563 817.3 32
250.2500 811.8 29
251.2188 806.5 27
252.2500 801.3 28
253.4219 795.0 30
254.3906 791.5 29
255.3750 788.0 29
256.5156 784.8 32
257.4375 780.3 29
258.4531 776.3 33
259.5156 774.8 29
260.5938 771.3 34
261.6250 768.8 37
262.6719 767.5 37
263.7031 766.3 36
264.6406 763.0 32
265.7344 762.3 32
266.7656 761.8 38
267.7813 762.0 32
268.7813 760.3 34
269.8750 758.0 34
270.8438 760.5 32
271.9688 759.3 36
272.8906 760.5 36
274.0313 759.3 35
275.0781 761.3 32
275.9688 764.5 30
277.1250 765.0 34
278.0000 767.5 33
279.0781 769.0 34
280.1094 771.0 32
281.1406 774.5 30
282.1875 777.8 29
283.2500 779.0 30
284.1563 783.3 30
285.2500 787.0 29
286.2188 791.0 32
287.2969 794.3 27
288.2500 800.0 26
289.2969 804.8 30
290.3906 810.3 33
291.3438 814.3 28
292.3438 822.3 28
293.2969 826.5 27
294.4219 835.5 27
295.3906 842.5 26
296.4375 847.8 24
297.4531 857.0 25
298.3750 864.5 26
299.5156 872.3 24
300.4531 882.8 27
301.4375 894.5 24
302.5469 902.0 27
303.4844 912.8 24
304.4844 925.0 27
305.5156 936.8 25
306.5000 945.5 26
307.5000 960.8 23
308.4219 975.8 26
309.5000 990.0 24
310.5000 1005.5 27
311.4531 1021.3 21
312.4688 1035.5 21
313.5000 1049.0 24
314.5625 1072.3 18
315.5469 1085.8 21
316.5781 1109.8 20
317.5938 1132.5 18
318.5625 1155.0 17
319.5781 1175.5 19
320.5156 1203.0 18
323.5313 1392.3 9
324.5469 1417.8 11
325.5469 1460.0 10
326.5313 1515.3 9
327.5469 1530.5 10
328.5313 1559.5 9
329.5625 1638.5 9
330.6094 1646.8 9
331.5938 1753.5 9
343.7031 2526.5 10
344.7344 2489.0 11
345.7344 2505.5 10
346.7813 2488.8 11
347.7969 2453.0 12
348.8438 2435.3 12
349.8438 2434.5 13
350.9063 2433.8 13
351.9375 2434.0 12
353.1563 2433.0 12
354.1719 2432.5 13
355.2031 2416.0 12
356.2344 2430.0 12
357.3125 2429.5 12
358.3281 2414.5 12
